MSH	MSH.Top	Disease	Indication	Category
"methylmalonic aciduria and homocystinuria, cbld type"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Methylmalonic aciduria, cblD type, variant 2,  "		
"methylmalonic aciduria and homocystinuria, cblf type"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Methylmalonic aciduria and homocystinuria, cblF type,  "		
methylmalonic aciduria cbla type	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Methylmalonic aciduria, vitamin B12-responsive,  "		
methylmalonic aciduria cblb type	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type,  "		
methylmalonic aciduria due to methylmalonyl-coa mutase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Methylmalonic aciduria, mut type,  (3)"		
methylmalonyl-coa epimerase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Methylmalonyl-CoA epimerase deficiency,  "		
mevalonate kinase deficiency	Nervous System Diseases	"Mevalonic aciduria,  "		
"microcephalic osteodysplastic primordial dwarfism, type 1"	Musculoskeletal Diseases	"Microcephalic osteodysplastic primordial dwarfism, type I,  "		
"microcephalic osteodysplastic primordial dwarfism, type ii"	Musculoskeletal Diseases	"Microcephalic osteodysplastic primordial dwarfism, type II,  "		
microcephaly		Head circumference (infant)		Neurological/behavioral
"microphthalmia, isolated 2"	Eye Diseases	"Microphthalmia, isolated 2,  "		Eye
"microphthalmia, isolated 3"	Eye Diseases	"Microphthalmia, isolated 3,  "		Eye
"microphthalmia, isolated 4"	Eye Diseases	"Microphthalmia, isolated 4,  "		Eye
"microphthalmia, isolated, with cataract 2"	Nervous System Diseases	"Microphthalmia with cataract 2,  "		
"microphthalmia, isolated, with coloboma 3"	Eye Diseases	"Microphthalmia with coloboma 3,  "		Eye
"microphthalmia, isolated, with coloboma 5"	Eye Diseases	"Microphthalmia with coloboma 5,  "		Eye
"microphthalmia, syndromic 2"	Eye Diseases	"Microphthalmia, syndromic 2,  "		Eye
"microphthalmia, syndromic 3"	Digestive System Diseases	"Optic nerve hypoplasia and abnormalities of the central nervous system,  "		Digestive system
"microphthalmia, syndromic 5"	Eye Diseases	"Retinal dystrophy, early-onset, and pituitary dysfunction,  "		Eye
"microphthalmia, syndromic 6"	Musculoskeletal Diseases	"Microphthalmia, syndromic 6,  "		
"microphthalmia, syndromic 7"	Eye Diseases	"Microphthalmia, syndromic 7,  "		Eye
"microtia, hearing impairment, and cleft palate"	Musculoskeletal Diseases	"Microtia, hearing impairment, and cleft palate,  "		
microvillus inclusion disease	Musculoskeletal Diseases	"Microvillus inclusion disease,  "		
"migraine, familial hemiplegic, 3"	Nervous System Diseases	"Migraine, familial hemiplegic, 3,  "		
mild cognitive impairment		Cognitive decline		Neurological/behavioral
minicore myopathy with external ophthalmoplegia	Musculoskeletal Diseases	"Minicore myopathy with external ophthalmoplegia,  "		
mitochondrial complex i deficiency	Nutritional and Metabolic Diseases	"Complex I, mitochondrial respiratory chain, deficiency of,  "		
mitochondrial complex ii deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mitochondrial complex II deficiency,  "		
mitochondrial complex iii deficiency	Nutritional and Metabolic Diseases	"Mitochondrial complex III deficiency, nuclear type 1,  "		
mitochondrial phosphate carrier deficiency	Nutritional and Metabolic Diseases	"Mitochondrial phosphate carrier deficiency,  "		
miyoshi myopathy	Musculoskeletal Diseases	"Miyoshi muscular dystrophy 3,  "		
mohr-tranebjaerg syndrome	Otorhinolaryngologic Diseases	"Mohr-Tranebjaerg syndrome,  "		
molecular chaperones		*608427 PARKIN COREGULATED GENE; PACRG		
molybdenum cofactor deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Molybdenum cofactor deficiency, type A,  "		
monilethrix	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Monilethrix,  "		
monocyte chemoattractant proteins		Monocyte chemoattractant protein-1		Miscellaneous
monocytes		Monocyte early outgrowth colony forming units		
mood disorders		Major mood disorders		Neurological/behavioral
morm syndrome	Nervous System Diseases	"Mental retardation, truncal obesity, retinal dystrophy, and micropenis,  "		
mosaic variegated aneuploidy syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mosaic variegated aneuploidy syndrome 1,  "		
mowat-wilson syndrome	Musculoskeletal Diseases	"Mowat-Wilson syndrome,  "		
moyamoya disease		Moyamoya disease		Cardiovascular
moyamoya disease 2	Nervous System Diseases	"{Moyamoya disease 2, susceptibility to},  "		
mucolipidosis iii gamma	Musculoskeletal Diseases	"Mucolipidosis III gamma,  "		
muenke syndrome	Musculoskeletal Diseases	"Muenke syndrome,  "		
muir-torre syndrome	Neoplasms	"Muir-Torre syndrome,  "		
mulibrey nanism	Musculoskeletal Diseases	"Mulibrey nanism,  "		
mullerian aplasia and hyperandrogenism	Male Urogenital Diseases	"Mullerian aplasia and hyperandrogenism,  "		
multiple acyl coenzyme a dehydrogenase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glutaric acidemia IIA,  "		
multiple endocrine neoplasia type 1	Neoplasms	"Multiple endocrine neoplasia 1,  "		
multiple endocrine neoplasia type 2a	Neoplasms	"Multiple endocrine neoplasia IIA,  "		
multiple endocrine neoplasia type 2b	Neoplasms	"Multiple endocrine neoplasia IIB,  "		
"multiple endocrine neoplasia, type iv"	Neoplasms	"Multiple endocrine neoplasia, type IV,  "		
multiple pterygium syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Escobar syndrome,  "		
multiple sulfatase deficiency disease	Nervous System Diseases	"Multiple sulfatase deficiency,  "		
multiple synostoses syndrome 2	Musculoskeletal Diseases	"Multiple synostoses syndrome 2,  "		
multiple synostoses syndrome 3	Musculoskeletal Diseases	"Multiple synostoses syndrome 3,  "		
"muscular dystrophy congenital, merosin negative"	Musculoskeletal Diseases	"Muscular dystrophy, congenital, due to partial LAMA2 deficiency,  "		
"muscular dystrophy, congenital, due to integrin alpha-7 deficiency"	Musculoskeletal Diseases	"Muscular dystrophy, congenital, due to ITGA7 deficiency,  "		
"muscular dystrophy, congenital, lmna-related"	Musculoskeletal Diseases	"Muscular dystrophy, congenital,  "		
"muscular dystrophy, emery-dreifuss"	Musculoskeletal Diseases	"Emery-Dreifuss muscular dystrophy 5, autosomal dominant,  "		
"muscular dystrophy, limb-girdle, type 1a"	Musculoskeletal Diseases	"Muscular dystrophy, limb-girdle, type 1A,  "		
"muscular dystrophy, limb-girdle, type 1c"	Musculoskeletal Diseases	"Muscular dystrophy, limb-girdle, type IC,  "		
"muscular dystrophy, limb-girdle, type 1e"	Musculoskeletal Diseases	"Muscular dystrophy, limb-girdle, type 1E,  "		
"muscular dystrophy, limb-girdle, type 2g"	Musculoskeletal Diseases	"Muscular dystrophy, limb-girdle, type 2G,  "		
"muscular dystrophy, limb-girdle, type 2j"	Musculoskeletal Diseases	"Muscular dystrophy, limb-girdle, type 2J,  "		
"muscular dystrophy, limb-girdle, type 2l"	Musculoskeletal Diseases	"Muscular dystrophy, limb-girdle, type 2L,  "		
"myasthenic syndrome, congenital, fast-channel"	Nervous System Diseases	"Myasthenic syndrome, fast-channel congenital,  "		
"myasthenic syndrome, congenital, postsynaptic slow-channel"	Nervous System Diseases	"Myasthenic syndrome, slow-channel congenital,  "		
"mycobacterium infections, nontuberculous"	Bacterial Infections and Mycoses	"{Mycobacterial and salmonella infections, susceptibility to},  "		Infection
mycobacterium tuberculosis		#607948 MYCOBACTERIUM TUBERCULOSIS; SUSCEPTIBILITY TO INFECTION BY		
myd88 deficiency	Immune System Diseases	"Pyogenic bacterial infections, recurrent, due to MYD88 deficiency,  "		
myeloperoxidase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Myeloperoxidase deficiency,  "		
"myeloproliferative disorder, chronic, with eosinophilia"	Hemic and Lymphatic Diseases	"Myeloproliferative disorder with eosinophilia,  "		Blood
myeloproliferative disorders		Myeloproliferative neoplasms		Blood
myoclonic dystonia	Nervous System Diseases	"Dystonia-11, myoclonic,  "		
"myoclonic epilepsies, progressive"	Nervous System Diseases	"Dentatorubro-pallidoluysian atrophy,  "		
"myoglobinuria, acute recurrent, autosomal recessive"	Musculoskeletal Diseases	"Myoglobinuria, acute recurrent, autosomal recessive,  "		
myopathy with lactic acidosis and sideroblastic anemia	Musculoskeletal Diseases	"Myopathy, lactic acidosis, and sideroblastic anemia 2,  "		
"myopathy with lactic acidosis, hereditary"	Musculoskeletal Diseases	"Myopathy with lactic acidosis, hereditary,  "		
"myopathy, central core"	Musculoskeletal Diseases	"Neuromuscular disease, congenital, with uniform type 1 fiber,  "		
"myopathy, congenital, compton-north"	Nervous System Diseases	"Myopathy, congenital, Compton-North,  "		
"myopathy, distal, with anterior tibial onset"	Musculoskeletal Diseases	"Myopathy, distal, with anterior tibial onset,  "		
"myopathy, early-onset, with fatal cardiomyopathy"	Musculoskeletal Diseases	"Myopathy, early-onset, with fatal cardiomyopathy,  "		
"myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay"	Musculoskeletal Diseases	"Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay,  "		
"myopathy, myosin storage"	Musculoskeletal Diseases	"Myopathy, myosin storage,  "		
"myopathy, reducing body, x-linked, childhood-onset"	Musculoskeletal Diseases	"Myopathy, reducing body, X-linked, childhood-onset,  "		
"myopathy, reducing body, x-linked, early-onset, severe"	Musculoskeletal Diseases	"Myopathy, reducing body, X-linked, severe early-onset,  "		
"myopathy, x-linked, with postural muscle atrophy"	Musculoskeletal Diseases	"Myopathy, X-linked, with postural muscle atrophy,  "		
myopia 6	Eye Diseases	"Myopia 6,  "		Eye
"myopia, degenerative"		Myopia (pathological)		Eye
"myosclerosis, autosomal recessive"	Musculoskeletal Diseases	"Myosclerosis, congenital,  "		
n syndrome	Neoplasms	"?N syndrome,  "		
n-acetyl glutamate synthetase deficiency	Nervous System Diseases	"N-acetylglutamate synthase deficiency,  "		
nadh cytochrome b5 reductase deficiency	Hemic and Lymphatic Diseases	"Methemoglobinemia, type II,  "		Blood
naegeli syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Naegeli-Franceschetti-Jadassohn syndrome,  "		
nail-patella syndrome	Musculoskeletal Diseases	"Nail-patella syndrome,  "		
nance-horan syndrome	Stomatognathic Diseases	"Nance-Horan syndrome,  "		
nanophthalmos 2	Eye Diseases	"Nanophthalmos 2,  "		Eye
nasopharyngeal carcinoma	Neoplasms	"Nasopharyngeal carcinoma,  "		
natriuretic peptides		Natriuretic peptide levels		Liver & kidney
naxos disease	Cardiovascular Diseases	"Naxos disease,  "		Cardiovascular
nemaline myopathy 1	Musculoskeletal Diseases	"Nemaline myopathy 1, autosomal dominant or recessive,  "		
nemaline myopathy 2	Musculoskeletal Diseases	"Nemaline myopathy 2, autosomal recessive,  "		
nemaline myopathy 3	Musculoskeletal Diseases	"Nemaline myopathy 3, autosomal dominant or recessive,  "		
nemaline myopathy 4	Musculoskeletal Diseases	"Nemaline myopathy 4, autosomal dominant,  "		
nemaline myopathy 5	Musculoskeletal Diseases	"Nemaline myopathy 5, Amish type,  "		
nemaline myopathy 6	Musculoskeletal Diseases	"Nemaline myopathy 6, autosomal dominant,  "		
nemaline myopathy 7	Musculoskeletal Diseases	"Nemaline myopathy 7, autosomal recessive,  "		
neonatal-onset citrullinemia type 2	Nervous System Diseases	"Citrullinemia, type II, neonatal-onset,  "		
"neoplasms, germ cell and embryonal"		Testicular germ cell tumor		Oncology
nephrogenic syndrome of inappropriate antidiuresis	Nervous System Diseases	"Nephrogenic syndrome of inappropriate antidiuresis,  "		
nephrolithiasis		Nephrolithiasis		Liver & kidney
"nephrolithiasis, x-linked recessive, with renal failure"	Male Urogenital Diseases	"Nephrolithiasis, type I,  "		
nephronophthisis 2	Male Urogenital Diseases	"Nephronophthisis 2, infantile,  "		
nephronophthisis 3	Male Urogenital Diseases	"Nephronophthisis 3,  "		
nephronophthisis 4	Male Urogenital Diseases	"Nephronophthisis 4,  "		
nephronophthisis 7	Male Urogenital Diseases	"Nephronophthisis 7,  "		
"nephronophthisis, familial juvenile"	Male Urogenital Diseases	"Nephronophthisis 1, juvenile,  "		
nephropathy with pretibial epidermolysis bullosa and deafness	Otorhinolaryngologic Diseases	"Nephropathy with pretibial epidermolysis bullosa and deafness,  "		
"nephrosis, congenital"	Male Urogenital Diseases	"Nephrotic syndrome, type 1,  "		
"nephrotic syndrome, idiopathic, steroid-resistant"	Male Urogenital Diseases	"Nephrotic syndrome, type 2,  "		
nerve tissue proteins		*131310 ENGRAILED 2; EN2		
n-ethylmaleimide-sensitive proteins		+116790 CATECHOL-O-METHYLTRANSFERASE; COMT		
"neural tube defect, folate-sensitive"	Nervous System Diseases	"{Neural tube defects, folate-sensitive, susceptibility to},  "		
neural tube defects		neural tube defects		
neuraminidase 1 deficiency	Musculoskeletal Diseases	"Sialidosis, type II,  "		
neuraminidase deficiency with beta-galactosidase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Galactosialidosis,  "		
neuregulin-1		*142445 NEUREGULIN 1; NRG1		
neuroacanthocytosis	Nervous System Diseases	"Choreoacanthocytosis,  "		
neurodegeneration due to cerebral folate transport deficiency	Nervous System Diseases	"Neurodegeneration due to cerebral folate transport deficiency,  "		
neurofibromatosis 1	Neoplasms	"Neurofibromatosis, type 1,  "		
neurofibromatosis 2	Neoplasms	"Neurofibromatosis, type 2,  "		
"neurofibromatosis, familial spinal"	Neoplasms	"Neurofibromatosis, familial spinal,  "		
neurofibromatosis-noonan syndrome	Neoplasms	"Neurofibromatosis-Noonan syndrome,  "		
"neuronopathy, distal hereditary motor, type iib"	Nervous System Diseases	"Neuropathy, distal hereditary motor, type IIB,  "		
"neuronopathy, distal hereditary motor, type viib"	Nervous System Diseases	"Neuropathy, distal hereditary motor, type VIIB,  "		
"neuropathy, hereditary motor and sensory, lom type"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 4D,  "		
"neuropathy, hereditary motor and sensory, okinawa type"	Nervous System Diseases	"Hereditary motor and sensory neuropathy, proximal type,  "		
"neuropathy, hereditary motor and sensory, russe type"	Nervous System Diseases	"Neuropathy, hereditary motor and sensory, Russe type,  "		
"neuropathy, hereditary sensory and autonomic, type iib"	Nervous System Diseases	"Neuropathy, hereditary sensory and autonomic, type IIB,  "		
"neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive"	Nervous System Diseases	"Neuropathy, hereditary sensory, with spastic paraplegia,  "		
neuropsychological tests		Cognitive test performance		Neurological/behavioral
neutral lipid storage disease with myopathy	Musculoskeletal Diseases	"Neutral lipid storage disease with myopathy,  "		
"neutropenia, severe congenital, x-linked"	Hemic and Lymphatic Diseases	"Neutropenia, severe congenital, X-linked,  "		Blood
neutrophil immunodeficiency syndrome	Immune System Diseases	"Neutrophil immunodeficiency syndrome,  "		
"neutrophilia, hereditary"	Hemic and Lymphatic Diseases	"Neutrophilia, hereditary,  "		Blood
nevus		Cutaneous nevi		Skin & connective tissue
"nevus, epidermal"	Neoplasms	"{Nevus sebaceous, somatic},  "		
"nevus, intradermal"		CVD outcomes		
newfoundland rod-cone dystrophy	Eye Diseases	"Newfoundland rod-cone dystrophy,  "		Eye
"niemann-pick disease, type a"	Nervous System Diseases	"Niemann-Pick disease, type A,  "		
"niemann-pick disease, type b"	Nervous System Diseases	"Niemann-Pick disease, type B,  "		
"niemann-pick disease, type c"	Nervous System Diseases	"Niemann-Pick disease, type D,  "		
"niemann-pick disease, type c2"	Nervous System Diseases	"Niemann-pick disease, type C2,  "		
"night blindness, congenital stationary, autosomal dominant 1"	Eye Diseases	"Night blindness, congenital stationary, autosomal dominant 1,  "		Eye
"night blindness, congenital stationary, autosomal dominant 2"	Eye Diseases	"Night blindness, congenital stationary, autosomal dominant 2,  "		Eye
"night blindness, congenital stationary, autosomal dominant 3"	Eye Diseases	"Night blindness, congenital stationary, autosomal dominant 3,  "		Eye
nijmegen breakage syndrome	Nutritional and Metabolic Diseases	"Nijmegen breakage syndrome,  "		
nijmegen breakage syndrome-like disorder	Musculoskeletal Diseases	"Nijmegen breakage syndrome-like disorder,  "		
noonan syndrome 3	Musculoskeletal Diseases	"Noonan syndrome 3,  "		
noonan syndrome 4	Musculoskeletal Diseases	"Noonan syndrome 4,  "		
noonan syndrome 5	Musculoskeletal Diseases	"Noonan syndrome 5,  "		
noonan syndrome 6	Musculoskeletal Diseases	"Noonan syndrome 6,  "		
norman roberts lissencephaly syndrome	Nervous System Diseases	"Lissencephaly 2 (Norman-Roberts type),  "		
norrie disease	Nervous System Diseases	"Norrie disease,  "		
north american indian childhood cirrhosis	Digestive System Diseases	"Cirrhosis, North American Indian childhood type,  "		Digestive system
nuclear proteins		*604457 NUCLEAR BODY PROTEIN SP110; SP110		
"nystagmus 1, congenital, x- linked"	Nervous System Diseases	"Nystagmus, infantile periodic alternating, X-linked,  "		
"obesity, abdominal"		#609830 ABDOMINAL BODY FAT DISTRIBUTION		
"obesity, morbid"		"Obesity, Morbid"		
obsessive hoarding		Hoarding		
occipital horn syndrome	Cardiovascular Diseases	"Occipital horn syndrome,  "		Cardiovascular
ocular albinism type 1	Eye Diseases	"Ocular albinism, type I, Nettleship-Falls type,  "		Eye
ocular hypertension		Intraocular pressure		Eye
oculoauricular syndrome	Eye Diseases	"Oculoauricular syndrome,  "		Eye
oculocerebrorenal syndrome	Nervous System Diseases	"Lowe syndrome,  "		
oculocutaneous albinism type 1	Eye Diseases	"Albinism, oculocutaneous, type IA,  "		Eye
oculocutaneous albinism type 1b	Eye Diseases	"Albinism, oculocutaneous, type IB,  "		Eye
oculocutaneous albinism type 2	Eye Diseases	"{Albinism, oculocutaneous, type II, modifier of},  "		Eye
oculocutaneous albinism type 3	Eye Diseases	"Albinism, oculocutaneous, type III,  "		Eye
"oculocutaneous albinism, type iv"	Eye Diseases	"Albinism, oculocutaneous, type IV,  "		Eye
oculodentodigital dysplasia	Musculoskeletal Diseases	"Oculodentodigital dysplasia,  "		
"oculodentodigital dysplasia, autosomal recessive"	Musculoskeletal Diseases	"Oculodentodigital dysplasia, autosomal recessive,  "		
oculodigitoesophagoduodenal syndrome	Musculoskeletal Diseases	"Feingold syndrome,  "		
oculootoradial syndrome	Musculoskeletal Diseases	"IVIC syndrome,  "		
odontoonychodermal dysplasia	Stomatognathic Diseases	"Odontoonychodermal dysplasia,  "		
oguchi disease	Eye Diseases	"Oguchi disease-2,  "		Eye
oligodontia-colorectal cancer syndrome	Neoplasms	"Oligodontia-colorectal cancer syndrome,  "		
omodysplasia type 1	Musculoskeletal Diseases	"Omodysplasia 1,  "		
"opitz gbbb syndrome, x-linked"	Musculoskeletal Diseases	"Opitz GBBB syndrome, type I,  "		
opitz-kaveggia syndrome	Digestive System Diseases	"Opitz-Kaveggia syndrome,  "		Digestive system
optic atrophy 1 and deafness	Otorhinolaryngologic Diseases	"Optic atrophy plus syndrome,  "		
optic atrophy 7	Nervous System Diseases	"Optic atrophy-7,  "		
"optic atrophy and cataract, autosomal dominant"	Nervous System Diseases	"Optic atrophy 3 with cataract,  "		
optic atrophy polyneuropathy deafness	Musculoskeletal Diseases	"Charcot-Marie-Tooth disease, X-linked recessive, 5,  "		
"optic atrophy, autosomal dominant"	Nervous System Diseases	"Optic atrophy 1,  "		
optic disk		Optic disc parameters		Eye
"optic nerve hypoplasia, bilateral"	Nervous System Diseases	"Optic nerve hypoplasia,  "		
orofacial cleft 10	Musculoskeletal Diseases	"Orofacial cleft 10,  "		
orofacial cleft 11	Musculoskeletal Diseases	"Orofacial cleft 11,  "		
orofacial cleft 5	Musculoskeletal Diseases	"Orofacial cleft 5,  "		
orofaciodigital syndrome type1	Musculoskeletal Diseases	"Oral-facial-digital syndrome 1,  "		
oroticaciduria 1	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Orotic aciduria,  "		
orthostatic intolerance	Nervous System Diseases	"Orthostatic intolerance,  "		
osler-rendu-weber syndrome 2	Cardiovascular Diseases	"Telangiectasia, hereditary hemorrhagic, type 2,  "		Cardiovascular
"osseous heteroplasia, progressive"	Musculoskeletal Diseases	"Osseous heteroplasia, progressive,  "		
ossification of the posterior longitudinal ligament of the spine	Musculoskeletal Diseases	"{Ossification of the posterior longitudinal spinal ligaments},  "		
osteoarthritis with mild chondrodysplasia	Musculoskeletal Diseases	"Osteoarthritis with mild chondrodysplasia,  "		
"osteoarthritis, knee"		Knee osteoarthritis		Musculoskeletal
osteochondrodysplasias	Musculoskeletal Diseases	"Melnick-Needles syndrome,  "		
"osteogenesis imperfecta, type 2a"	Musculoskeletal Diseases	"OI type II,  "		
"osteogenesis imperfecta, type 3"	Musculoskeletal Diseases	"OI type III,  "		
"osteogenesis imperfecta, type 4"	Musculoskeletal Diseases	"OI type IV,  "		
"osteogenesis imperfecta, type 5"	Musculoskeletal Diseases	"Osteogenesis imperfecta, type V,  "		
"osteogenesis imperfecta, type 7"	Musculoskeletal Diseases	"Osteogenesis imperfecta, type VII,  "		
"osteogenesis imperfecta, type ix"	Musculoskeletal Diseases	"Osteogenesis imperfecta, type IX,  "		
"osteogenesis imperfecta, type viii"	Musculoskeletal Diseases	"Osteogenesis imperfecta, type VIII,  "		
osteoglophonic dwarfism	Musculoskeletal Diseases	"Osteoglophonic dysplasia,  "		
osteopathia striata cranial sclerosis	Musculoskeletal Diseases	"Osteopathia striata with cranial sclerosis,  "		
osteopetrosis autosomal dominant type 1	Musculoskeletal Diseases	"Osteopetrosis, autosomal dominant 1,  "		
osteopetrosis with renal tubular acidosis	Musculoskeletal Diseases	"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis,  "		
"osteopetrosis, autosomal recessive 1"	Musculoskeletal Diseases	"Osteopetrosis, autosomal recessive 1,  "		
"osteopetrosis, autosomal recessive 5"	Musculoskeletal Diseases	"Osteopetrosis, autosomal recessive 5,  "		
"osteopetrosis, autosomal recessive 6"	Musculoskeletal Diseases	"Osteopetrosis, autosomal recessive 6,  "		
"osteopetrosis, autosomal recessive 7"	Musculoskeletal Diseases	"Osteopetrosis, autosomal recessive 7,  "		
"osteoporosis, postmenopausal"		"osteoporosis, postmenopausal"		
osteoporosis-pseudoglioma syndrome	Musculoskeletal Diseases	"Osteoporosis-pseudoglioma syndrome,  "		
otofaciocervical syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Otofaciocervical syndrome,  "		
oto-palato-digital syndrome type 1	Musculoskeletal Diseases	"Otopalatodigital syndrome, type I,  "		
"oto-palato-digital syndrome, type 2"	Musculoskeletal Diseases	"Otopalatodigital syndrome, type II,  "		
otosclerosis		Otosclerosis		Musculoskeletal
ovarian dysgenesis 2	Male Urogenital Diseases	"Premature ovarian failure 4,  "		
ovarian follicle; ovary		Ovarian reserve		
ovarian hyperstimulation syndrome	Female Urogenital Diseases and Pregnancy Complications	"Ovarian hyperstimulation syndrome,  "		Urogenital
ox40 ligand		*603594 TUMOR NECROSIS FACTOR LIGAND SUPERFAMILY; MEMBER 4; TNFSF4		
pallister-hall syndrome	Neoplasms	"Pallister-Hall syndrome,  "		
"palmoplantar keratoderma, nonepidermolytic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Palmoplantar keratoderma, nonepidermolytic,  "		
"pancreatic agenesis, congenital"	Digestive System Diseases	"Pancreatic agenesis,  "		Digestive system
panhypopituitarism x-linked	Nervous System Diseases	"Panhypopituitarism, X-linked,  "		
pantothenate kinase-associated neurodegeneration	Nervous System Diseases	"Neurodegeneration with brain iron accumulation 1,  "		
"papilloma, choroid plexus"	Neoplasms	"Choroid plexus papilloma,  "		
papillon-lefevre disease	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Papillon-Lefevre syndrome,  "		
papillorenal syndrome	Eye Diseases	"Papillorenal syndrome,  "		Eye
paraganglioma	Neoplasms	"Paragangliomas 3,  "		
"paralysis, hyperkalemic periodic"	Musculoskeletal Diseases	"Hyperkalemic periodic paralysis, type 2,  "		
paramyotonia congenita of von eulenburg	Musculoskeletal Diseases	"Paramyotonia congenita,  "		
parastremmatic dwarfism	Musculoskeletal Diseases	"Parastremmatic dwarfism,  "		
parathyroid neoplasms	Neoplasms	"Parathyroid carcinoma,  "		
parietal foramina	Nervous System Diseases	"Parietal foramina 1,  "		
parietal foramina 2	Nervous System Diseases	"Parietal foramina 2,  "		
parietal foramina with cleidocranial dysplasia	Musculoskeletal Diseases	"Parietal foramina with cleidocranial dysplasia,  "		
"parkinson disease 4, autosomal dominant lewy body"	Nervous System Diseases	"Parkinson disease 4,  "		
"parkinson disease 6, autosomal recessive early-onset"	Nervous System Diseases	"Parkinson disease 6, early onset,  "		
"parkinson disease 7, autosomal recessive early-onset"	Nervous System Diseases	"Parkinson disease 7, autosomal recessive early-onset,  "		
parkinson disease 9	Nervous System Diseases	"Parkinson disease 9,  "		
"parkinson disease, postencephalitic"		Parkinson`s disease (motor and cognition)		
parkinsonian disorders		Parkinson`s disease (age of onset)		
"parkinsonism-dystonia, infantile"	Nervous System Diseases	"Parkinsonism-dystonia, infantile,  "		
paroxysmal extreme pain disorder	Nervous System Diseases	"Paroxysmal extreme pain disorder,  "		
paroxysmal nonkinesigenic dyskinesia	Nervous System Diseases	"Paroxysmal nonkinesigenic dyskinesia,  "		
paroxysmal ventricular fibrillation	Cardiovascular Diseases	"Ventricular fibrillation, paroxysmal familial, 2,  "		Cardiovascular
partial thromboplastin time		Activated partial thromboplastin time		Blood
partington x-linked mental retardation syndrome	Nervous System Diseases	"Partington syndrome,  "		
patterned dystrophy of retinal pigment epithelium	Eye Diseases	"Macular dystrophy, patterned,  "		Eye
peeling skin syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Peeling skin syndrome,  "		
"peeling skin syndrome, acral type"	Skin and Connective Tissue Diseases	"Peeling skin syndrome, acral type,  "		
pelger-huet anomaly	Hemic and Lymphatic Diseases	"Pelger-Huet anomaly,  "		Blood
pelizaeus-merzbacher disease	Nervous System Diseases	"Pelizaeus-Merzbacher disease,  "		
"pemphigus, benign familial"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hailey-Hailey disease,  "		
"pena shokeir syndrome, type 1"	Musculoskeletal Diseases	"Fetal akinesia deformation sequence,  "		
pendred syndrome	Otorhinolaryngologic Diseases	"Pendred syndrome,  "		
pentosuria	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Pentosuria,  "		
pericardium		Pericardial fat		Cardiovascular
"periodic fever, familial, autosomal dominant"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Periodic fever, familial,  "		
peripheral arterial disease		Peripheral artery disease		
"peripheral demyelinating neuropathy, central dysmyelination, waardenburg syndrome, and hirschsprung disease"	Digestive System Diseases	"PCWH syndrome,  "		Digestive system
peroxisomal acyl-coa oxidase deficiency	Nervous System Diseases	"Peroxisomal acyl-CoA oxidase deficiency,  "		
peroxisome biogenesis disorders	Nervous System Diseases	"Peroxisome biogenesis disorder 1B (NALD/IRD),  "		
perry syndrome	Respiratory Tract Diseases	"Perry syndrome,  "		
persistent mullerian duct syndrome	Male Urogenital Diseases	"Persistent Mullerian duct syndrome, type I,  "		
personality assessment		Personality dimensions		Neurological/behavioral
peters anomaly	Eye Diseases	"Peters anomaly,  "		Eye
peutz-jeghers syndrome	Neoplasms	"Peutz-Jeghers syndrome,  "		
pfeiffer type acrocephalosyndactyly	Musculoskeletal Diseases	"Pfeiffer syndrome,  "		
pheochromocytoma	Neoplasms	"{Pheochromocytoma, modifier of},  "		
